DATE	TIME	VOLUME	OPEN	CLOSE	MIN	MAX
10/27/2006	02:00:01	2696	118.44	118.47	118.39	118.5
10/27/2006	03:00:01	1933	118.48	118.5	118.42	118.52
10/27/2006	04:00:01	1978	118.5	118.5	118.41	118.53
10/27/2006	05:00:01	3573	118.49	118.4	118.31	118.55
10/27/2006	06:00:01	3574	118.41	118.48	118.3	118.5
10/27/2006	07:00:01	3745	118.48	118.5	118.42	118.59
10/27/2006	08:00:01	3436	118.5	118.57	118.42	118.63
10/27/2006	09:00:01	3292	118.57	118.6	118.5	118.67
10/27/2006	10:00:01	2859	118.6	118.51	118.45	118.66
10/27/2006	11:00:01	3106	118.51	118.46	118.39	118.56
10/27/2006	12:00:01	5653	118.47	117.9	117.77	118.5
10/27/2006	13:00:01	8297	117.9	117.41	117.13	117.94
10/27/2006	14:00:01	7037	117.4	117.59	117.28	117.63
10/27/2006	15:00:01	4898	117.6	117.6	117.49	117.67
10/27/2006	16:00:01	3526	117.62	117.59	117.48	117.64
10/27/2006	17:00:01	2813	117.59	117.64	117.54	117.7
10/27/2006	18:00:01	2242	117.64	117.61	117.56	117.68
10/27/2006	19:00:01	2202	117.61	117.57	117.47	117.63
10/27/2006	20:00:01	1260	117.57	117.58	117.47	117.63
10/27/2006	21:00:01	527	117.58	117.58	117.47	117.64
10/27/2006	22:00:01	0	117.58	117.58	117.58	117.58
10/27/2006	23:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	00:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	01:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	02:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	03:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	04:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	05:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	06:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	07:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	08:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	09:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	10:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	11:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	12:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	13:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	14:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	15:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	16:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	19:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	20:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	21:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	22:00:01	0	117.58	117.58	117.58	117.58
10/28/2006	23:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	00:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	01:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	02:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	03:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	04:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	05:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	06:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	07:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	08:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	09:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	10:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	11:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	12:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	13:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	14:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	15:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	16:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	17:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	18:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	19:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	20:00:01	0	117.58	117.58	117.58	117.58
10/29/2006	21:00:01	608	117.57	117.46	117.42	117.58
10/29/2006	22:00:01	1335	117.46	117.55	117.42	117.57
10/29/2006	23:00:01	2630	117.55	117.51	117.46	117.59
10/30/2006	00:00:01	3541	117.51	117.49	117.43	117.58
10/30/2006	01:00:01	4182	117.49	117.36	117.26	117.51
10/30/2006	02:00:01	3453	117.36	117.29	117.18	117.47
10/30/2006	03:00:01	2756	117.3	117.27	117.21	117.33
